Date,Category,Payment_Mode,Description,Amount,Cashback
1/22/2024,Food,Credit Card,Ordered food from swiggy,840.55,0
1/22/2024,Medical Health,UPI,Health checkup cost,580.83,2.83
1/22/2024,Medical Health,Netbanking,Medical insurance payment,73.81,0
1/22/2024,Medical Health,Netbanking,Medical insurance payment,71.42,0
1/23/2024,Food,Cash,Took out a meal from a restaurant,640.03,0.75
1/23/2024,Entertainment,Netbanking,Movie tickets,559.97,7.57
1/23/2024,Shopping,Netbanking,Purchased electronics,52.94,0
1/23/2024,Food,Credit Card,Had lunch at hotel,829.59,9.87
1/23/2024,Medical Health,UPI,Medical insurance payment,500.96,0
1/23/2024,Transportation,Credit Card,Paid for train ticket,657.77,0
1/23/2024,Food,Cash,Had lunch at hotel,484.24,0.28
1/24/2024,Groceries,Credit Card,Grocery shopping at the local store,764.69,0
1/24/2024,Entertainment,Cash,Movie tickets,240.74,0
1/24/2024,Investment,Cash,Bought mutual fund units,706.44,0
1/24/2024,Food,UPI,Ordered food from swiggy,517.65,0
1/24/2024,Entertainment,Netbanking,Gaming console purchase,753.05,0
1/24/2024,Medical Health,Credit Card,Health checkup cost,213.18,0
1/24/2024,Shopping,UPI,Bought clothes,786.58,0
1/24/2024,Entertainment,UPI,Movie tickets,269.22,6.14
1/25/2024,Medical Health,Credit Card,Health checkup cost,728.92,0
1/25/2024,Entertainment,Debit Card,Gaming console purchase,252.97,0
1/25/2024,Shopping,Netbanking,Bought household items,795.41,0
1/25/2024,Entertainment,Netbanking,Concert tickets,512.65,0
1/25/2024,Groceries,Credit Card,Bought fresh fruits and snacks,274.98,8.63
1/25/2024,Entertainment,Credit Card,Movie tickets,681.27,6.3
1/25/2024,Transportation,Debit Card,Uber ride to the office,449.76,0
1/25/2024,Groceries,Credit Card,Bought fresh fruits and snacks,418.17,0
1/25/2024,Groceries,Cash,Purchased daily essentials,165.65,0
1/25/2024,Food,Cash,Dinner delivery from zomato,610.2,0
1/25/2024,Medical Health,Cash,Medical insurance payment,964.45,0
1/26/2024,Transportation,Netbanking,Paid for train ticket,742.18,0
1/26/2024,Transportation,Netbanking,Bought a metro ticket for travel,52.68,0
1/26/2024,Transportation,Credit Card,Paid for train ticket,662.29,0
1/27/2024,Entertainment,Debit Card,Concert tickets,356.2,0
1/27/2024,Shopping,Netbanking,Bought clothes,524.63,0
1/27/2024,Investment,UPI,Investment in gold,902.96,0
1/28/2024,Transportation,Cash,Uber ride to the office,674.78,0
1/28/2024,Shopping,Credit Card,Purchased electronics,779.04,0
1/28/2024,Transportation,UPI,Fuel refilled for the bike,678.65,0
1/28/2024,Entertainment,Credit Card,Concert tickets,740.02,0
1/28/2024,Food,Debit Card,Took out a meal from a restaurant,234.48,0
1/29/2024,Transportation,Debit Card,Uber ride to the office,564.87,0
1/29/2024,Groceries,UPI,Bought fresh fruits and snacks,169.66,0
1/29/2024,Entertainment,Cash,Gaming console purchase,197.67,0
1/29/2024,Entertainment,Debit Card,Movie tickets,14.62,0
1/30/2024,Transportation,Netbanking,Paid for a cab ride to work,456.03,0
1/30/2024,Entertainment,Netbanking,Gaming console purchase,561.41,0
1/30/2024,Transportation,Debit Card,Uber ride to the office,90.5,0
1/30/2024,Investment,Credit Card,Invested in stocks,179.5,0
1/30/2024,Medical Health,Netbanking,Doctor's consultation fee,759.66,8.32
1/30/2024,Transportation,UPI,Uber ride to the office,136.58,0
1/30/2024,Groceries,UPI,Grocery shopping at the local store,137.28,0
1/30/2024,Entertainment,Debit Card,Movie tickets,956.55,7.73
1/30/2024,Groceries,Cash,Purchased daily essentials,124.37,3.56
1/30/2024,Transportation,Cash,Fuel refilled for the bike,80.54,0
1/30/2024,Food,Cash,Took out a meal from a restaurant,544.91,0
2/1/2024,Food,Netbanking,Dinner delivery from zomato,492.08,0
2/1/2024,Medical Health,Netbanking,Bought medication,383.83,0
2/1/2024,Groceries,Netbanking,Purchased daily essentials,327.68,0
2/1/2024,Groceries,Debit Card,Bought vegetables and fruits,802.62,0
2/1/2024,Investment,Debit Card,Investment in gold,670.15,0
2/1/2024,Groceries,Cash,Grocery shopping at the local store,845.6,0
2/1/2024,Entertainment,Netbanking,Movie tickets,350.66,0
2/2/2024,Groceries,UPI,Bought fresh fruits and snacks,731.48,0
2/2/2024,Investment,Cash,Invested in stocks,980.74,0
2/2/2024,Groceries,Cash,Purchased daily essentials,918.8,0
2/2/2024,Shopping,Cash,Purchased electronics,316.42,0
2/2/2024,Shopping,Credit Card,Bought household items,777.13,7.29
2/2/2024,Food,UPI,Dinner delivery from zomato,448.06,0
2/2/2024,Food,Debit Card,Ordered food from swiggy,589.67,6.86
2/2/2024,Food,UPI,Took out a meal from a restaurant,124.36,0
2/2/2024,Groceries,Credit Card,Grocery shopping at the local store,601.57,0
2/2/2024,Food,UPI,Dinner delivery from zomato,284.73,0
2/2/2024,Entertainment,UPI,Movie tickets,372.72,0
2/2/2024,Medical Health,Credit Card,Bought medication,54.1,0
2/3/2024,Food,Netbanking,Dinner delivery from zomato,497.99,0
2/3/2024,Investment,Cash,Bought mutual fund units,687.93,0
2/3/2024,Shopping,Debit Card,Bought a gift for a friend's birthday,41.1,0
2/3/2024,Transportation,Credit Card,Paid for a cab ride to work,458.75,0
2/3/2024,Transportation,UPI,Fuel refilled for the bike,529.03,0
2/3/2024,Medical Health,Netbanking,Doctor's consultation fee,972.94,0
2/3/2024,Transportation,UPI,Bought a metro ticket for travel,896.79,0
2/3/2024,Medical Health,UPI,Bought medication,403.54,0
2/3/2024,Food,Debit Card,Ordered food from swiggy,225.75,0
2/3/2024,Investment,Credit Card,Purchased bonds,787.43,0
2/3/2024,Shopping,Debit Card,Bought a gift for a friend's birthday,215.41,0
2/4/2024,Entertainment,Debit Card,Gaming console purchase,136.64,9.52
2/4/2024,Entertainment,Cash,Concert tickets,900.27,0
2/4/2024,Investment,Netbanking,Invested in stocks,780.04,0
2/4/2024,Entertainment,Credit Card,Concert tickets,160.53,0
2/4/2024,Entertainment,Debit Card,Gaming console purchase,679.55,0
2/5/2024,Medical Health,UPI,Doctor's consultation fee,743.83,0
2/5/2024,Medical Health,Cash,Bought medication,139.32,0
2/5/2024,Medical Health,Netbanking,Health checkup cost,214.59,0
2/5/2024,Medical Health,Cash,Health checkup cost,421.06,0
2/5/2024,Groceries,Netbanking,Grocery shopping at the local store,328.08,0
2/5/2024,Entertainment,Debit Card,Gaming console purchase,861.88,0
2/6/2024,Investment,UPI,Investment in gold,165.66,0
2/6/2024,Medical Health,Debit Card,Bought medication,624.45,7.49
2/6/2024,Investment,Credit Card,Invested in stocks,564.67,0
2/6/2024,Shopping,Debit Card,Shopping for accessories,752.14,0
2/6/2024,Shopping,Cash,Purchased electronics,666.83,0
2/6/2024,Groceries,Debit Card,Purchased daily essentials,971.16,0
2/7/2024,Shopping,Credit Card,Bought a gift for a friend's birthday,767.84,0
2/7/2024,Investment,UPI,Bought mutual fund units,473.66,0
2/7/2024,Medical Health,Credit Card,Bought medication,285.52,0
2/7/2024,Entertainment,Cash,Movie tickets,964.69,0
2/7/2024,Entertainment,UPI,Concert tickets,107.27,0
2/7/2024,Groceries,UPI,Purchased daily essentials,750.68,0
2/7/2024,Investment,Cash,Purchased bonds,461.44,0
2/7/2024,Groceries,UPI,Bought vegetables and fruits,756.72,0
2/7/2024,Medical Health,UPI,Health checkup cost,19.23,6.8
2/7/2024,Medical Health,UPI,Health checkup cost,905.41,0
2/8/2024,Entertainment,Debit Card,Movie tickets,620.56,0
2/8/2024,Groceries,Credit Card,Purchased daily essentials,522.72,0
2/8/2024,Investment,Netbanking,Bought mutual fund units,963.13,0
2/8/2024,Medical Health,Netbanking,Doctor's consultation fee,438.75,0
2/8/2024,Entertainment,Credit Card,Gaming console purchase,714.35,0
2/8/2024,Entertainment,Credit Card,Gaming console purchase,812.25,0
2/8/2024,Medical Health,Credit Card,Bought medication,114.62,0
2/8/2024,Transportation,Netbanking,Paid for train ticket,97.99,0
2/9/2024,Shopping,Cash,Bought household items,930.97,0
2/9/2024,Shopping,Credit Card,Bought household items,15.65,0
2/9/2024,Food,Debit Card,Had lunch at hotel,119.6,0
2/9/2024,Investment,UPI,Invested in stocks,79.95,0
2/9/2024,Groceries,Credit Card,Bought vegetables and fruits,86.19,0
2/9/2024,Entertainment,Netbanking,Concert tickets,949.8,0
2/9/2024,Food,Debit Card,Dinner delivery from zomato,92.15,0
2/10/2024,Investment,Netbanking,Investment in gold,210.03,0
2/10/2024,Groceries,Credit Card,Bought vegetables and fruits,809.4,0
2/10/2024,Groceries,Netbanking,Grocery shopping at the local store,439.31,0
2/10/2024,Entertainment,Debit Card,Concert tickets,351.19,0
2/10/2024,Food,Credit Card,Had dinner at a restaurant with friends,694.95,0
2/10/2024,Entertainment,Debit Card,Gaming console purchase,128.44,0
2/10/2024,Transportation,Debit Card,Uber ride to the office,512.91,0
2/11/2024,Food,Netbanking,Dinner delivery from zomato,136.36,0
2/11/2024,Medical Health,Debit Card,Medical insurance payment,404.19,0
2/11/2024,Food,UPI,Had dinner at a restaurant with friends,348.13,3.72
2/12/2024,Food,Cash,Dinner delivery from zomato,751.62,0
2/12/2024,Transportation,Cash,Fuel refilled for the bike,930.17,0
2/12/2024,Medical Health,UPI,Medical insurance payment,571.62,0
2/12/2024,Entertainment,Credit Card,Gaming console purchase,823.96,0
2/12/2024,Transportation,Credit Card,Fuel refilled for the bike,149.05,9.05
2/12/2024,Transportation,Netbanking,Fuel refilled for the bike,782.6,0
2/12/2024,Shopping,Cash,Purchased electronics,74.25,0
2/13/2024,Medical Health,UPI,Doctor's consultation fee,578.84,0
2/13/2024,Entertainment,Credit Card,Concert tickets,419.07,7.22
2/13/2024,Shopping,Cash,Bought household items,891.27,0
2/14/2024,Medical Health,Debit Card,Bought medication,49.49,0
2/14/2024,Medical Health,Netbanking,Health checkup cost,780.78,0
2/14/2024,Food,Netbanking,Had lunch at hotel,493.92,0
2/14/2024,Medical Health,Debit Card,Doctor's consultation fee,248.44,6.73
2/14/2024,Medical Health,Netbanking,Health checkup cost,910.05,0
2/14/2024,Entertainment,Cash,Concert tickets,764.8,0
2/14/2024,Groceries,Debit Card,Bought fresh fruits and snacks,750.18,2.3
2/14/2024,Food,Credit Card,Had dinner at a restaurant with friends,899.07,0
2/14/2024,Shopping,Debit Card,Bought a gift for a friend's birthday,991.89,1.1
2/15/2024,Transportation,Credit Card,Uber ride to the office,293.58,0
2/15/2024,Transportation,Cash,Paid for a cab ride to work,20.43,0
2/15/2024,Shopping,Cash,Shopping for accessories,768.4,0
2/15/2024,Food,UPI,Ordered food from swiggy,767.64,0
2/15/2024,Transportation,Cash,Paid for a cab ride to work,494.46,0
2/15/2024,Entertainment,Debit Card,Gaming console purchase,973.05,2.8
2/15/2024,Investment,Credit Card,Purchased bonds,298.91,0
2/15/2024,Food,Cash,Ordered food from swiggy,825.8,0
2/16/2024,Groceries,Debit Card,Grocery shopping at the local store,122.36,0
2/16/2024,Shopping,Credit Card,Bought household items,864.23,0
2/16/2024,Investment,UPI,Bought mutual fund units,467.25,0
2/16/2024,Transportation,UPI,Paid for train ticket,394.33,0
2/16/2024,Investment,Cash,Purchased bonds,534.03,0
2/16/2024,Groceries,Netbanking,Bought vegetables and fruits,628.06,0
2/16/2024,Groceries,Netbanking,Purchased daily essentials,828.87,0
2/16/2024,Medical Health,Cash,Bought medication,601.12,0
2/16/2024,Medical Health,Netbanking,Doctor's consultation fee,929.67,0
2/16/2024,Entertainment,Credit Card,Movie tickets,676.49,0
2/16/2024,Food,Cash,Had lunch at hotel,633.21,0
2/16/2024,Entertainment,Credit Card,Movie tickets,44.42,0.4
2/16/2024,Investment,Cash,Purchased bonds,112.46,0
2/17/2024,Groceries,Cash,Bought vegetables and fruits,186.34,0
2/17/2024,Entertainment,UPI,Gaming console purchase,507.52,0
2/17/2024,Shopping,Netbanking,Bought clothes,823.27,0
2/17/2024,Entertainment,Netbanking,Gaming console purchase,493.65,0
2/17/2024,Entertainment,Netbanking,Concert tickets,864.3,0
2/17/2024,Groceries,UPI,Bought fresh fruits and snacks,882.05,0
2/17/2024,Food,UPI,Had dinner at a restaurant with friends,366.77,0
2/17/2024,Transportation,Cash,Fuel refilled for the bike,423.9,0
2/17/2024,Shopping,Netbanking,Bought household items,202.49,0
2/18/2024,Groceries,Netbanking,Bought vegetables and fruits,287.15,0
2/18/2024,Medical Health,Debit Card,Health checkup cost,829.23,0
2/18/2024,Groceries,Debit Card,Bought vegetables and fruits,163.03,0.72
2/18/2024,Entertainment,Debit Card,Concert tickets,564.86,0
2/18/2024,Transportation,Debit Card,Paid for a cab ride to work,561.37,0
2/18/2024,Groceries,Netbanking,Bought fresh fruits and snacks,699.94,0
2/18/2024,Groceries,Debit Card,Bought vegetables and fruits,590.37,0
2/18/2024,Transportation,Netbanking,Paid for a cab ride to work,767.13,0
2/18/2024,Investment,UPI,Investment in gold,868.6,4.52
2/18/2024,Food,Debit Card,Dinner delivery from zomato,969.21,3.41
2/19/2024,Groceries,Debit Card,Purchased daily essentials,954.92,0
2/19/2024,Entertainment,Cash,Movie tickets,424.64,0
2/19/2024,Transportation,Cash,Fuel refilled for the bike,832.61,0
2/19/2024,Transportation,Debit Card,Fuel refilled for the bike,36.53,0
2/19/2024,Shopping,Credit Card,Purchased electronics,345.88,0
2/19/2024,Medical Health,Debit Card,Bought medication,883.93,0
2/19/2024,Medical Health,Debit Card,Doctor's consultation fee,452.95,0
2/19/2024,Shopping,UPI,Purchased electronics,345.69,0
2/19/2024,Transportation,UPI,Paid for a cab ride to work,251.61,0
2/20/2024,Medical Health,Cash,Doctor's consultation fee,658.71,0
2/20/2024,Food,Credit Card,Ordered food from swiggy,472.04,0
2/20/2024,Shopping,UPI,Purchased electronics,657.14,3.44
2/20/2024,Investment,Credit Card,Bought mutual fund units,12.35,0
2/21/2024,Transportation,Credit Card,Bought a metro ticket for travel,93.27,6.81
2/21/2024,Entertainment,Credit Card,Gaming console purchase,343.48,0
2/21/2024,Medical Health,Debit Card,Health checkup cost,175.96,0
2/21/2024,Entertainment,Credit Card,Gaming console purchase,925.39,0
2/21/2024,Entertainment,Cash,Movie tickets,997.41,0
2/21/2024,Investment,Cash,Purchased bonds,111.03,0
2/21/2024,Medical Health,Debit Card,Bought medication,384.21,0
2/21/2024,Transportation,Credit Card,Paid for a cab ride to work,88.9,0
2/22/2024,Medical Health,Cash,Medical insurance payment,734.32,0
2/22/2024,Entertainment,Debit Card,Movie tickets,939.3,0
2/22/2024,Shopping,Cash,Bought household items,867.65,0
2/22/2024,Groceries,Netbanking,Grocery shopping at the local store,670.71,0
2/22/2024,Food,Debit Card,Had lunch at hotel,993.01,0
2/22/2024,Groceries,Credit Card,Purchased daily essentials,349.04,0
2/22/2024,Shopping,Netbanking,Purchased electronics,124,0
2/22/2024,Medical Health,Credit Card,Medical insurance payment,80.29,0
2/22/2024,Medical Health,Debit Card,Doctor's consultation fee,966.74,0
2/22/2024,Transportation,Cash,Fuel refilled for the bike,788.42,0
2/23/2024,Medical Health,Debit Card,Doctor's consultation fee,51.54,0
2/23/2024,Medical Health,UPI,Doctor's consultation fee,666.87,9.38
2/23/2024,Transportation,Debit Card,Paid for train ticket,316.96,0
2/23/2024,Transportation,UPI,Paid for a cab ride to work,712.13,0
2/23/2024,Medical Health,Credit Card,Health checkup cost,338.76,0
2/24/2024,Investment,UPI,Bought mutual fund units,898.14,0
2/24/2024,Food,Credit Card,Ordered food from swiggy,410.88,0
2/24/2024,Food,UPI,Took out a meal from a restaurant,601.68,0
2/25/2024,Food,Cash,Had dinner at a restaurant with friends,347.12,0
2/25/2024,Investment,Debit Card,Invested in stocks,746.06,0
2/25/2024,Transportation,Cash,Fuel refilled for the bike,498.23,0
2/25/2024,Groceries,Credit Card,Bought fresh fruits and snacks,85.02,0.39
2/26/2024,Medical Health,Credit Card,Medical insurance payment,635.49,4.55
2/26/2024,Transportation,Netbanking,Bought a metro ticket for travel,384.13,0
2/26/2024,Investment,Credit Card,Investment in gold,394.83,0
2/26/2024,Groceries,Debit Card,Bought fresh fruits and snacks,851.54,0
2/26/2024,Groceries,Netbanking,Grocery shopping at the local store,837.09,0
2/26/2024,Shopping,UPI,Purchased electronics,771.6,0
2/27/2024,Investment,Netbanking,Investment in gold,188.2,0
2/27/2024,Shopping,Netbanking,Bought a gift for a friend's birthday,952.26,0
2/27/2024,Investment,Netbanking,Investment in gold,969.28,0
2/27/2024,Entertainment,Netbanking,Concert tickets,321.73,0
2/28/2024,Medical Health,Debit Card,Medical insurance payment,405.84,0
2/28/2024,Investment,Netbanking,Investment in gold,56.15,0
2/28/2024,Groceries,UPI,Bought fresh fruits and snacks,672.91,0
2/28/2024,Medical Health,Credit Card,Doctor's consultation fee,140.44,6.54
2/28/2024,Medical Health,Cash,Bought medication,792.54,0
2/28/2024,Medical Health,Cash,Bought medication,987.56,0
3/1/2024,Investment,Credit Card,Purchased bonds,539.98,0
3/1/2024,Groceries,UPI,Bought fresh fruits and snacks,494.7,0
3/1/2024,Groceries,Cash,Bought fresh fruits and snacks,29.37,0
3/1/2024,Investment,UPI,Purchased bonds,983.51,0
3/2/2024,Food,Cash,Dinner delivery from zomato,559.7,0
3/2/2024,Entertainment,Cash,Concert tickets,424.1,0
3/2/2024,Transportation,Netbanking,Uber ride to the office,86.27,0
3/2/2024,Transportation,Debit Card,Uber ride to the office,251.84,0
3/2/2024,Transportation,Cash,Uber ride to the office,612.47,0
3/2/2024,Transportation,Debit Card,Paid for a cab ride to work,898.13,0
3/2/2024,Entertainment,UPI,Concert tickets,294.74,0
3/2/2024,Investment,Debit Card,Bought mutual fund units,381.88,0
3/3/2024,Groceries,Debit Card,Bought vegetables and fruits,841.79,5.55
3/3/2024,Transportation,UPI,Paid for train ticket,95.19,0
3/3/2024,Transportation,Debit Card,Uber ride to the office,114.53,0
3/3/2024,Food,UPI,Ordered food from swiggy,657.7,0
3/3/2024,Food,UPI,Ordered food from swiggy,421.67,0
3/3/2024,Food,Credit Card,Ordered food from swiggy,492.27,0
3/3/2024,Shopping,Netbanking,Shopping for accessories,700.58,0
